date,channel,geo,spend
2025-01-01,Meta,UA,199.02
2025-01-01,Meta,PL,228.25
2025-01-01,Meta,DE,321.36
2025-01-01,Meta,US,513.01
2025-01-01,Meta,UK,324.05
2025-01-01,Google,UA,134.22
2025-01-01,Google,PL,239.18
2025-01-01,Google,DE,252.59
2025-01-01,Google,US,275.69
2025-01-01,Google,UK,286.67
2025-01-01,TikTok,UA,180.31
2025-01-01,TikTok,PL,231.74
2025-01-01,TikTok,DE,321.71
2025-01-01,TikTok,US,297.63
2025-01-01,TikTok,UK,266.85
2025-01-01,Email,UA,22.77
2025-01-01,Email,PL,27.0
2025-01-01,Email,DE,41.9
2025-01-01,Email,US,45.86
2025-01-01,Email,UK,36.29
2025-01-02,Meta,UA,236.94
2025-01-02,Meta,PL,224.68
2025-01-02,Meta,DE,289.5
2025-01-02,Meta,US,301.78
2025-01-02,Meta,UK,306.45
2025-01-02,Google,UA,142.82
2025-01-02,Google,PL,146.32
2025-01-02,Google,DE,235.39
2025-01-02,Google,US,269.26
2025-01-02,Google,UK,246.7
2025-01-02,TikTok,UA,175.88
2025-01-02,TikTok,PL,351.72
2025-01-02,TikTok,DE,307.25
2025-01-02,TikTok,US,347.19
2025-01-02,TikTok,UK,422.09
2025-01-02,Email,UA,20.23
2025-01-02,Email,PL,33.64
2025-01-02,Email,DE,27.83
2025-01-02,Email,US,42.52
2025-01-02,Email,UK,48.49
2025-01-03,Meta,UA,207.87
2025-01-03,Meta,PL,241.33
2025-01-03,Meta,DE,280.11
2025-01-03,Meta,US,369.43
2025-01-03,Meta,UK,259.02
2025-01-03,Google,UA,122.99
2025-01-03,Google,PL,165.68
2025-01-03,Google,DE,266.11
2025-01-03,Google,US,319.14
2025-01-03,Google,UK,189.3
2025-01-03,TikTok,UA,207.77
2025-01-03,TikTok,PL,235.12
2025-01-03,TikTok,DE,272.67
2025-01-03,TikTok,US,468.88
2025-01-03,TikTok,UK,438.23
2025-01-03,Email,UA,29.8
2025-01-03,Email,PL,27.86
2025-01-03,Email,DE,37.46
2025-01-03,Email,US,57.32
2025-01-03,Email,UK,55.78
2025-01-04,Meta,UA,166.96
2025-01-04,Meta,PL,226.31
2025-01-04,Meta,DE,234.36
2025-01-04,Meta,US,314.45
2025-01-04,Meta,UK,391.23
2025-01-04,Google,UA,178.71
2025-01-04,Google,PL,177.68
2025-01-04,Google,DE,263.56
2025-01-04,Google,US,320.18
2025-01-04,Google,UK,231.5
2025-01-04,TikTok,UA,209.17
2025-01-04,TikTok,PL,332.38
2025-01-04,TikTok,DE,306.02
2025-01-04,TikTok,US,556.62
2025-01-04,TikTok,UK,227.15
2025-01-04,Email,UA,29.22
2025-01-04,Email,PL,32.91
2025-01-04,Email,DE,37.53
2025-01-04,Email,US,54.9
2025-01-04,Email,UK,32.72
2025-01-05,Meta,UA,174.94
2025-01-05,Meta,PL,249.54
2025-01-05,Meta,DE,373.16
2025-01-05,Meta,US,355.26
2025-01-05,Meta,UK,292.22
2025-01-05,Google,UA,127.91
2025-01-05,Google,PL,212.24
2025-01-05,Google,DE,233.41
2025-01-05,Google,US,272.71
2025-01-05,Google,UK,285.17
2025-01-05,TikTok,UA,199.45
2025-01-05,TikTok,PL,300.0
2025-01-05,TikTok,DE,271.44
2025-01-05,TikTok,US,395.95
2025-01-05,TikTok,UK,339.19
2025-01-05,Email,UA,19.36
2025-01-05,Email,PL,34.17
2025-01-05,Email,DE,41.51
2025-01-05,Email,US,54.05
2025-01-05,Email,UK,44.86
2025-01-06,Meta,UA,141.07
2025-01-06,Meta,PL,216.94
2025-01-06,Meta,DE,268.89
2025-01-06,Meta,US,337.56
2025-01-06,Meta,UK,328.33
2025-01-06,Google,UA,150.56
2025-01-06,Google,PL,252.77
2025-01-06,Google,DE,227.02
2025-01-06,Google,US,314.24
2025-01-06,Google,UK,256.54
2025-01-06,TikTok,UA,138.76
2025-01-06,TikTok,PL,250.8
2025-01-06,TikTok,DE,311.36
2025-01-06,TikTok,US,654.35
2025-01-06,TikTok,UK,351.61
2025-01-06,Email,UA,26.61
2025-01-06,Email,PL,32.2
2025-01-06,Email,DE,32.09
2025-01-06,Email,US,66.33
2025-01-06,Email,UK,53.58
2025-01-07,Meta,UA,209.85
2025-01-07,Meta,PL,198.67
2025-01-07,Meta,DE,368.15
2025-01-07,Meta,US,303.02
2025-01-07,Meta,UK,375.66
2025-01-07,Google,UA,207.66
2025-01-07,Google,PL,150.6
2025-01-07,Google,DE,198.68
2025-01-07,Google,US,305.43
2025-01-07,Google,UK,237.47
2025-01-07,TikTok,UA,148.26
2025-01-07,TikTok,PL,255.13
2025-01-07,TikTok,DE,254.39
2025-01-07,TikTok,US,457.37
2025-01-07,TikTok,UK,308.48
2025-01-07,Email,UA,33.31
2025-01-07,Email,PL,28.14
2025-01-07,Email,DE,37.37
2025-01-07,Email,US,62.52
2025-01-07,Email,UK,37.5
2025-01-08,Meta,UA,189.61
2025-01-08,Meta,PL,296.07
2025-01-08,Meta,DE,214.14
2025-01-08,Meta,US,403.18
2025-01-08,Meta,UK,354.19
2025-01-08,Google,UA,161.16
2025-01-08,Google,PL,144.07
2025-01-08,Google,DE,173.46
2025-01-08,Google,US,329.55
2025-01-08,Google,UK,274.28
2025-01-08,TikTok,UA,205.04
2025-01-08,TikTok,PL,268.22
2025-01-08,TikTok,DE,272.52
2025-01-08,TikTok,US,437.93
2025-01-08,TikTok,UK,383.72
2025-01-08,Email,UA,22.16
2025-01-08,Email,PL,45.33
2025-01-08,Email,DE,43.13
2025-01-08,Email,US,43.58
2025-01-08,Email,UK,52.67
2025-01-09,Meta,UA,152.71
2025-01-09,Meta,PL,269.62
2025-01-09,Meta,DE,352.32
2025-01-09,Meta,US,336.44
2025-01-09,Meta,UK,402.0
2025-01-09,Google,UA,150.8
2025-01-09,Google,PL,208.71
2025-01-09,Google,DE,309.53
2025-01-09,Google,US,287.04
2025-01-09,Google,UK,227.01
2025-01-09,TikTok,UA,167.0
2025-01-09,TikTok,PL,217.58
2025-01-09,TikTok,DE,303.76
2025-01-09,TikTok,US,446.6
2025-01-09,TikTok,UK,382.59
2025-01-09,Email,UA,29.25
2025-01-09,Email,PL,32.48
2025-01-09,Email,DE,51.44
2025-01-09,Email,US,51.49
2025-01-09,Email,UK,76.36
2025-01-10,Meta,UA,203.7
2025-01-10,Meta,PL,200.54
2025-01-10,Meta,DE,235.86
2025-01-10,Meta,US,425.38
2025-01-10,Meta,UK,324.67
2025-01-10,Google,UA,159.2
2025-01-10,Google,PL,196.0
2025-01-10,Google,DE,217.13
2025-01-10,Google,US,257.59
2025-01-10,Google,UK,197.95
2025-01-10,TikTok,UA,180.86
2025-01-10,TikTok,PL,294.0
2025-01-10,TikTok,DE,320.1
2025-01-10,TikTok,US,335.63
2025-01-10,TikTok,UK,375.53
2025-01-10,Email,UA,27.01
2025-01-10,Email,PL,27.63
2025-01-10,Email,DE,40.71
2025-01-10,Email,US,54.57
2025-01-10,Email,UK,38.1
2025-01-11,Meta,UA,194.11
2025-01-11,Meta,PL,258.85
2025-01-11,Meta,DE,347.56
2025-01-11,Meta,US,471.46
2025-01-11,Meta,UK,263.77
2025-01-11,Google,UA,118.25
2025-01-11,Google,PL,197.49
2025-01-11,Google,DE,241.32
2025-01-11,Google,US,329.14
2025-01-11,Google,UK,520.18
2025-01-11,TikTok,UA,217.21
2025-01-11,TikTok,PL,309.15
2025-01-11,TikTok,DE,365.7
2025-01-11,TikTok,US,472.25
2025-01-11,TikTok,UK,343.92
2025-01-11,Email,UA,28.89
2025-01-11,Email,PL,28.19
2025-01-11,Email,DE,37.95
2025-01-11,Email,US,49.48
2025-01-11,Email,UK,47.49
2025-01-12,Meta,UA,276.07
2025-01-12,Meta,PL,167.2
2025-01-12,Meta,DE,323.6
